sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,3.23043150952937,0.7998292473767027,Baseline,1.0,delta_sdr
3.0,6.40339796770626,2.4612449540368266,Baseline,1.0,delta_sdr
5.0,7.8952422231996735,4.215242108431142,Baseline,1.0,delta_sdr
7.0,8.758109164917665,5.481956420522101,Baseline,1.0,delta_sdr
1.0,3.0843068625759935,0.8350034632177852,Dynamic,1.0,delta_sdr
3.0,6.291078490296077,2.232409955037544,Dynamic,1.0,delta_sdr
5.0,8.177346322561814,4.28737960130677,Dynamic,1.0,delta_sdr
7.0,8.934419282500581,5.471505877612698,Dynamic,1.0,delta_sdr
1.0,2.6061143873615897,0.6011631628282653,ML1,1.0,delta_sdr
3.0,5.256149769669169,1.7903797410995943,ML1,1.0,delta_sdr
5.0,5.685241109524856,2.3162879316072593,ML1,1.0,delta_sdr
7.0,5.816759736081332,2.3763754747736927,ML1,1.0,delta_sdr
1.0,3.255764047510465,0.7586198830102695,ML2,1.0,delta_sdr
3.0,6.999209834877495,2.590557302669933,ML2,1.0,delta_sdr
5.0,8.304950907538268,4.715442905088043,ML2,1.0,delta_sdr
7.0,8.878411022479114,5.1984594220962395,ML2,1.0,delta_sdr
