sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,9998.368421052632,2219.174927022461,Baseline,1.0,cycles
3.0,13270.736842105263,4143.718202051353,Baseline,1.0,cycles
5.0,14704.947368421053,4700.11745094009,Baseline,1.0,cycles
7.0,15429.736842105263,4990.123888933078,Baseline,1.0,cycles
1.0,8884.631578947368,1672.8447895900201,Dynamic,1.0,cycles
3.0,11539.421052631578,2995.765943902039,Dynamic,1.0,cycles
5.0,12696.263157894737,3423.6601084236872,Dynamic,1.0,cycles
7.0,13141.315789473685,3717.1252938651933,Dynamic,1.0,cycles
1.0,35.0,0.0,ML1,1.0,cycles
3.0,35.0,0.0,ML1,1.0,cycles
5.0,35.0,0.0,ML1,1.0,cycles
7.0,35.0,0.0,ML1,1.0,cycles
1.0,6990.421052631579,1415.459458809105,ML2,1.0,cycles
3.0,9113.78947368421,2488.021404403895,ML2,1.0,cycles
5.0,10050.105263157895,2769.4919890104366,ML2,1.0,cycles
7.0,10438.368421052632,2980.177347640877,ML2,1.0,cycles
